,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
12,Jun 13 2021,"Advanced Micro Devices, Inc. (AMD)","4,247.44",+8.26,,81.56,81.61,80.70 - 82.33,48.42 - 99.23,"24,310,894","42,976,846",98.793B,2.06,34.14,2.38,"Jul 26, 2021 - Jul 30, 2021",N/A (N/A),104.34
13,Jun 13 2021,Alphabet Inc. (GOOG),"4,247.44",+8.26,,"2,521.60","2,524.92","2,498.50 - 2,526.99","1,347.01 - 2,526.99","1,262,309","1,354,995",1.667T,1.00,33.50,75.04,N/A,N/A (N/A),"2,625.00"
14,Jun 13 2021,Alphabet Inc. (GOOGL),"4,247.44",+8.26,,"2,435.13","2,440.00","2,418.96 - 2,441.72","1,351.65 - 2,441.72","1,097,907","1,521,477",1.645T,1.00,32.39,75.04,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),"2,745.42"
15,Jun 13 2021,International Business Machines Corporation (IBM),"4,247.44",+8.26,,150.54,150.43,150.37 - 151.85,105.92 - 152.84,"3,438,255","5,081,185",135.172B,1.23,25.31,5.98,"Jul 19, 2021",6.56 (4.58%),143.82
16,Jun 13 2021,Microsoft Corporation (MSFT),"4,247.44",+8.26,,257.24,257.98,256.61 - 258.49,184.01 - 263.19,"18,999,731","26,498,915",1.942T,0.79,35.14,7.34,"Jul 20, 2021 - Jul 26, 2021",2.24 (0.90%),293.37
17,Jun 13 2021,Apple Inc. (AAPL),"4,247.44",+8.26,,126.11,126.53,126.10 - 127.44,83.14 - 145.09,"53,522,373","88,994,153",2.125T,1.22,28.62,4.45,"Jul 28, 2021 - Aug 02, 2021",0.88 (0.69%),159.85
18,Jun 13 2021,"Tesla, Inc. (TSLA)","4,247.44",+8.26,,610.12,610.23,601.55 - 612.54,181.70 - 900.40,"16,205,303","31,123,647",587.525B,2.01,611.11,1.00,"Jul 20, 2021 - Jul 26, 2021",N/A (N/A),661.00
19,Jun 13 2021,"Amazon.com, Inc. (AMZN)","4,247.44",+8.26,,"3,349.65","3,349.65","3,333.45 - 3,366.58","2,508.00 - 3,554.00","2,817,352","3,445,304",1.688T,1.12,63.67,52.56,"Jul 28, 2021 - Aug 02, 2021",N/A (N/A),"4,239.43"
20,Jun 13 2021,"Rockwell Automation, Inc. (ROK)","4,247.44",+8.26,,281.67,282.92,280.21 - 284.23,200.60 - 284.23,"988,380","649,015",32.983B,1.38,20.94,13.57,"Jul 26, 2021 - Jul 30, 2021",4.28 (1.63%),274.89
21,Jun 13 2021,Cognex Corporation (CGNX),"4,247.44",+8.26,,79.70,80.00,79.30 - 80.21,53.65 - 101.82,"423,517","751,222",14.12B,1.66,79.95,1.00,"Jul 27, 2021 - Aug 02, 2021",0.24 (0.30%),90.79
22,Jun 13 2021,iRobot Corporation (IRBT),"4,247.44",+8.26,,94.99,95.79,94.90 - 96.25,67.55 - 197.40,"313,124","525,293",2.721B,1.33,15.98,6.00,"Jul 27, 2021",N/A (N/A),116.33
23,Jun 13 2021,KION GROUP AG (KIGRY),"4,247.44",+8.26,,27.33,26.93,26.88 - 27.11,14.24 - 28.30,"4,541","13,041",14.041B,1.33,38.63,0.70,N/A,0.12 (0.48%),N/A
24,Jun 13 2021,Canopy Growth Corporation (CGC),"4,247.44",+8.26,,25.66,25.78,25.57 - 26.23,13.83 - 56.50,"2,118,632","3,559,247",9.905B,2.17,N/A,-5.24,"Aug 09, 2021 - Aug 13, 2021",N/A (N/A),N/A
25,Jun 13 2021,Aurora Cannabis Inc. (ACB),"4,247.44",+8.26,,9.89,9.96,9.69 - 10.01,3.71 - 18.98,"3,499,205","7,822,722",1.954B,3.16,N/A,-15.75,"May 13, 2021",N/A (N/A),N/A
26,Jun 13 2021,ABB Ltd (ABB),"4,247.44",+8.26,,34.63,34.60,34.45 - 34.65,20.58 - 35.28,"981,102","1,405,365",69.249B,1.09,13.64,2.53,N/A,0.87 (2.68%),36.94
27,Jun 13 2021,Novartis AG (NVS),"4,247.44",+8.26,,93.50,93.26,92.53 - 93.26,77.04 - 98.52,"1,370,019","1,881,130",207.899B,0.51,26.64,3.48,N/A,3.20 (3.74%),105.13
28,Jun 13 2021,"salesforce.com, inc. (CRM)","4,247.44",+8.26,,240.19,239.03,238.41 - 240.37,171.27 - 284.50,"4,624,184","5,710,161",221.622B,1.09,54.87,4.38,"Aug 23, 2021 - Aug 27, 2021",N/A (N/A),278.21
29,Jun 13 2021,Oracle Corporation (ORCL),"4,247.44",+8.26,,82.30,81.98,81.84 - 83.24,50.91 - 85.03,"10,913,062","12,343,965",235.392B,0.77,19.84,4.18,"Jun 14, 2021 - Jun 18, 2021",1.28 (1.66%),72.97
30,Jun 13 2021,"Five9, Inc. (FIVN)","4,247.44",+8.26,,165.36,165.45,163.57 - 166.19,99.29 - 201.75,"354,627","665,360",11.113B,0.42,N/A,-0.72,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),206.63
